Borough ,Precinct,Crashes ,Bicyclist Injuries ,Bicyclist Fatalities
Manhattan,1,2,2,0
Manhattan,5,2,2,0
Manhattan,6,2,1,0
Manhattan,7,2,2,0
Manhattan,9,2,1,0
Manhattan,10,5,2,0
Manhattan,13,2,0,0
Manhattan,14,2,3,0
Manhattan,17,0,0,0
Manhattan,18,2,1,0
Manhattan,19,0,0,0
Manhattan,20,2,3,0
Manhattan,22,26,16,0
Manhattan,23,0,0,0
Manhattan,24,3,2,0
Manhattan,25,0,0,0
Manhattan,26,3,2,0
Manhattan,28,0,0,0
Manhattan,30,0,0,0
Manhattan,32,0,0,0
Manhattan,33,0,0,0
Manhattan,34,0,0,0
Bronx,40,0,0,0
Bronx,41,0,0,0
Bronx,42,0,0,0
Bronx,43,1,0,0
Bronx,44,0,0,0
Bronx,45,2,1,0
Bronx,46,0,0,0
Bronx,47,0,0,0
Bronx,48,0,0,0
Bronx,49,0,0,0
Bronx,50,0,0,0
Bronx,52,0,0,0
Brooklyn,60,0,0,0
Brooklyn,61,0,0,0
Brooklyn,62,2,0,0
Brooklyn,63,1,1,0
Brooklyn,66,0,0,0
Brooklyn,67,0,0,0
Brooklyn,68,1,1,0
Brooklyn,69,0,0,0
Brooklyn,70,2,1,0
Brooklyn,71,0,0,0
Brooklyn,72,2,2,0
Brooklyn,73,0,0,0
Brooklyn,75,0,0,0
Brooklyn,76,0,0,0
Brooklyn,77,0,0,0
Brooklyn,78,5,4,0
Brooklyn,79,3,0,0
Brooklyn,81,0,0,0
Brooklyn,83,0,0,0
Brooklyn,84,3,1,0
Brooklyn,88,0,0,0
Brooklyn,90,3,3,0
Brooklyn,94,1,1,0
Queens,100,0,0,0
Queens,101,0,0,0
Queens,102,0,0,0
Queens,103,1,0,0
Queens,104,1,0,0
Queens,105,0,0,0
Queens,106,0,0,0
Queens,107,0,0,0
Queens,108,0,0,0
Queens,109,0,0,0
Queens,110,0,0,0
Queens,111,1,0,0
Queens,112,1,0,0
Queens,113,0,0,0
Queens,114,1,0,0
Queens,115,0,0,0
Staten Island,120,1,0,0
Staten Island,121,0,0,0
Staten Island,122,0,0,0
Staten Island,123,0,0,0
