Borough,Precinct,Crashes,Pedestrian Injuries,Pedestrian Fatalities,Bicyclist Injuries
Manhattan,1,8,8,0,1
Manhattan,5,15,15,0,0
Manhattan,6,10,9,0,1
Manhattan,7,5,5,0,0
Manhattan,9,10,11,0,0
Manhattan,10,6,6,0,2
Manhattan,13,14,14,0,3
Manhattan,14,7,7,0,0
Manhattan,17,11,11,0,2
Manhattan,18,8,8,0,1
Manhattan,19,7,6,0,1
Manhattan,20,2,2,0,0
Manhattan,22,29,29,0,7
Manhattan,23,2,2,0,0
Manhattan,24,5,5,0,1
Manhattan,25,0,0,0,0
Manhattan,26,1,2,0,0
Manhattan,28,2,2,0,0
Manhattan,30,3,3,0,0
Manhattan,32,1,1,0,0
Manhattan,33,0,0,0,0
Manhattan,34,4,4,0,0
Bronx,40,2,2,0,0
Bronx,41,0,0,0,0
Bronx,42,0,0,0,0
Bronx,43,0,0,0,0
Bronx,44,2,2,0,0
Bronx,45,0,0,0,0
Bronx,46,3,3,0,0
Bronx,47,0,0,0,0
Bronx,48,0,0,0,0
Bronx,49,0,0,0,0
Bronx,50,0,0,0,0
Bronx,52,2,2,0,0
Brooklyn,60,0,0,0,0
Brooklyn,61,1,1,0,0
Brooklyn,62,2,2,0,0
Brooklyn,63,1,1,0,0
Brooklyn,66,1,1,0,0
Brooklyn,67,2,2,0,0
Brooklyn,68,4,4,0,1
Brooklyn,69,0,0,0,0
Brooklyn,70,2,2,0,0
Brooklyn,71,2,2,0,0
Brooklyn,72,4,4,0,1
Brooklyn,73,0,0,0,0
Brooklyn,75,0,0,0,0
Brooklyn,76,0,0,0,0
Brooklyn,77,5,5,0,0
Brooklyn,78,9,9,0,3
Brooklyn,79,3,3,0,0
Brooklyn,81,1,1,0,0
Brooklyn,83,1,1,0,0
Brooklyn,84,9,9,0,2
Brooklyn,88,7,7,0,0
Brooklyn,90,5,6,0,0
Brooklyn,94,3,3,0,1
Queens,100,0,0,0,0
Queens,101,0,0,0,0
Queens,102,0,0,0,0
Queens,103,0,0,0,0
Queens,104,5,5,0,1
Queens,105,0,0,0,0
Queens,106,0,0,0,0
Queens,107,0,0,0,0
Queens,108,6,6,0,3
Queens,109,0,0,0,0
Queens,110,5,5,0,1
Queens,111,0,0,0,0
Queens,112,0,0,0,0
Queens,113,0,0,0,0
Queens,114,1,1,0,0
Queens,115,4,4,0,0
Staten Island,120,0,0,0,0
Staten Island,122,1,1,0,0
Staten Island,123,0,0,0,0
