"","","","","","","",""
Borough,"Pedestrian Injuries","Pedestrian Fatalities","Bicyclist Injuries","Bicyclist Fatalities","Occupant Injuries","Occupant Fatalities","Total  Traffic Injuries"
Manhattan,"2,896",39,"1,114",4,"4,950",8,"8,960"
Bronx,"1,845",16,323,3,"7,049",29,"9,217"
Brooklyn,"3,842",48,"1,605",5,"11,981",25,"17,428"
Queens,"2,752",39,789,5,"12,339",36,"15,880"
Staten Island,459,7,51,1,"2,826",10,"3,336"
"Crashes Involving Pedestrians and Bicyclists         (not involving Motor Vehicles)","","","",""
"Pedestrian Injuries","Pedestrian Fatalities","Bicyclist Injuries","Bicyclist Fatalities","Bicyclist Injuries"
150,0,19,0,161
9,0,0,0,21
63,0,8,0,75
21,0,5,1,36
1,0,0,0,0
"Pedestrian Injuries","Pedestrian Fatalities","Bicyclist Injuries","Bicyclist Fatalities","Occupant Injuries","Occupant Fatalities","Total Injuries"
"3,046",39,"1,294",4,"4,950",8,"9,290"
"1,854",16,344,3,"7,049",29,"9,247"
"3,905",48,"1,688",6,"11,981",25,"17,574"
"2,773",39,830,6,"12,339",36,"15,942"
460,7,51,1,"2,826",10,"3,337"
"","","",Bicyclist ,Bicyclist ,Motor Vehicle ,Motor Vehicle 
Borough Precinct ,"",Crashes ,Injuries ,Fatalities ,Occupant Injuries ,Occupant Fatalities
Manhattan ,1 ,69 ,69 ,0 ,0 ,0
Manhattan ,5 ,67 ,67 ,0 ,0 ,0
Manhattan ,6 ,78 ,78 ,0 ,0 ,0
Manhattan ,7 ,39 ,39 ,0 ,0 ,0
Manhattan ,9 ,74 ,73 ,1 ,0 ,0
Manhattan ,10 ,42 ,42 ,0 ,0 ,0
Manhattan ,13 ,109 ,109 ,0 ,0 ,0
Manhattan ,14 ,89 ,89 ,0 ,0 ,0
Manhattan ,17 ,76 ,76 ,0 ,0 ,0
Manhattan ,18 ,94 ,94 ,0 ,0 ,0
Manhattan ,19 ,89 ,88 ,1 ,0 ,0
Manhattan ,20 ,43 ,43 ,0 ,0 ,0
Manhattan ,22 ,9 ,9 ,0 ,0 ,0
Manhattan ,23 ,27 ,26 ,1 ,0 ,0
Manhattan ,24 ,37 ,37 ,0 ,0 ,0
Manhattan ,25 ,19 ,19 ,0 ,0 ,0
Manhattan ,26 ,24 ,24 ,0 ,0 ,0
Manhattan ,28 ,32 ,31 ,1 ,0 ,0
Manhattan ,30 ,18 ,18 ,0 ,0 ,0
Manhattan ,32 ,24 ,24 ,0 ,0 ,0
Manhattan ,33 ,23 ,23 ,0 ,0 ,0
Manhattan ,34 ,36 ,36 ,0 ,0 ,0
Manhattan Total ,"","1,118 ","1,114 ",4 ,0 ,0
Bronx ,40 ,32 ,32 ,0 ,0 ,0
Bronx ,41 ,20 ,20 ,0 ,0 ,0
Bronx ,42 ,23 ,23 ,0 ,0 ,0
Bronx ,43 ,39 ,39 ,0 ,0 ,0
Bronx ,44 ,30 ,30 ,0 ,0 ,0
Bronx ,45 ,24 ,24 ,0 ,0 ,0
Bronx ,46 ,18 ,18 ,0 ,0 ,0
Bronx ,47 ,29 ,29 ,0 ,0 ,0
Bronx ,48 ,32 ,32 ,0 ,0 ,0
Bronx ,49 ,37 ,36 ,1 ,0 ,0
Bronx ,50 ,10 ,10 ,0 ,0 ,0
Bronx ,52 ,32 ,30 ,2 ,0 ,0
