Borough,Precinct,Crashes,"BicyclistInjuries","BicyclistFatalities*","Motor VehicleOccupant Injuries"
Manhattan,1,59,59,0,0
Manhattan,5,56,57,0,3
Manhattan,6,50,50,0,0
Manhattan,7,48,49,0,0
Manhattan,9,93,94,0,0
Manhattan,10,51,51,0,0
Manhattan,13,136,136,1,0
Manhattan,14,83,85,0,0
Manhattan,17,72,72,0,0
Manhattan,18,101,102,0,2
Manhattan,19,112,112,0,0
Manhattan,20,44,44,0,0
Manhattan,22,2,2,0,0
Manhattan,23,40,40,1,0
Manhattan,24,33,33,0,2
Manhattan,25,24,23,1,0
Manhattan,26,22,22,0,1
Manhattan,28,49,49,0,0
Manhattan,30,15,15,0,0
Manhattan,32,26,26,0,0
Manhattan,33,22,22,0,0
Manhattan,34,31,33,0,0
Manhattan Total,"",1169,1176,3,8
Bronx,40,25,25,0,1
Bronx,41,21,21,0,0
Bronx,42,33,32,1,0
Bronx,43,41,42,0,1
Bronx,44,32,32,0,0
Bronx,45,18,19,0,1
Bronx,46,31,31,0,2
Bronx,47,11,11,0,0
Bronx,48,30,30,0,0
Bronx,49,36,37,0,0
Bronx,50,19,19,0,0
Bronx,52,19,19,0,0
Borough,Precinct,Crashes,"BicyclistInjuries","BicyclistFatalities*","Motor VehicleOccupant Injuries"
Brooklyn,60,29,29,0,0
Brooklyn,61,64,64,0,2
Brooklyn,62,63,63,1,0
Brooklyn,63,38,38,0,0
Brooklyn,66,108,107,1,0
Brooklyn,67,85,85,0,4
Brooklyn,68,49,48,1,0
Brooklyn,69,20,20,0,0
Brooklyn,70,68,68,0,1
Brooklyn,71,75,75,0,0
Brooklyn,72,73,73,0,1
Brooklyn,73,41,41,0,1
Brooklyn,75,82,84,0,6
Brooklyn,76,27,27,0,0
Brooklyn,77,66,65,1,0
Brooklyn,78,107,107,0,0
Brooklyn,79,92,92,0,0
Brooklyn,81,38,38,0,0
Brooklyn,83,58,58,0,0
Brooklyn,84,47,47,1,0
Brooklyn,88,96,96,0,0
Brooklyn,90,189,191,0,6
Brooklyn,94,59,58,1,0
Brooklyn Total,"",1574,1574,6,21
Queens,100,11,11,0,0
Queens,101,12,12,0,0
Queens,102,61,61,0,0
Queens,103,25,26,0,0
Queens,104,56,55,1,0
Queens,105,26,26,0,1
Queens,106,28,27,1,0
Queens,107,16,16,0,0
Queens,108,95,95,0,0
Queens,109,45,45,0,0
Queens,110,69,70,0,0
Queens,111,20,20,0,0
Queens,112,31,31,0,0
Queens,113,47,47,0,1
Queens,114,120,121,0,1
Queens,115,110,112,0,1
Queens Total,"",772,775,2,4
"Staten IslandStaten Island","120121","1910","1910","00","00"
Staten Island,122,10,10,0,0
Staten Island,123,2,2,0,0
Staten Island Total,"",41,41,0,0
Borough,Precinct,Crashes,Pedestrian Injuries,Pedestrian Fatalities,Bicyclist Injuries
Manhattan,1,13,13,0,2
Manhattan,5,11,12,0,0
Manhattan,6,9,9,0,1
Manhattan,7,9,9,0,0
Manhattan,9,19,19,0,0
Manhattan,10,9,9,0,0
Manhattan,13,16,16,0,2
Manhattan,14,20,20,0,0
Manhattan,17,10,10,0,1
Manhattan,18,17,17,0,1
Manhattan,19,14,15,0,0
Manhattan,20,4,5,0,0
Manhattan,22,20,20,0,1
Manhattan,23,5,5,0,0
Manhattan,24,6,6,0,3
Manhattan,25,0,0,0,0
Manhattan,26,0,0,0,0
Manhattan,28,2,3,0,0
Manhattan,30,4,4,0,1
Manhattan,32,2,2,0,0
Manhattan,33,2,2,0,0
Manhattan,34,2,2,0,0
Manhattan Total,"",194,198,0,12
Bronx,40,2,2,0,0
Bronx,41,0,0,0,0
Bronx,42,0,0,0,0
Bronx,43,2,2,0,0
Bronx,44,3,3,0,0
Bronx,45,0,0,0,0
Bronx,46,2,2,0,1
Bronx,47,0,0,0,0
Bronx,48,0,0,0,0
Bronx,49,1,2,0,0
Bronx,50,2,2,0,0
Bronx,52,2,2,0,0
Borough,Precinct,Crashes,Pedestrian Injuries,Pedestrian Fatalities,Bicyclist Injuries
Brooklyn,60,1,1,0,0
Brooklyn,61,2,2,0,0
Brooklyn,62,4,4,0,1
Brooklyn,63,0,0,0,0
Brooklyn,66,5,5,1,0
Brooklyn,67,1,1,0,0
Brooklyn,68,3,3,0,1
Brooklyn,69,0,0,0,0
Brooklyn,70,0,0,0,0
Brooklyn,71,1,1,0,0
Brooklyn,72,5,6,0,1
Brooklyn,73,0,0,0,0
Brooklyn,75,0,0,0,0
Brooklyn,76,1,1,0,0
Brooklyn,77,2,2,0,0
Brooklyn,78,9,9,0,0
Brooklyn,79,6,6,0,1
Brooklyn,81,1,1,0,0
Brooklyn,83,3,3,0,0
Brooklyn,84,8,8,0,3
Brooklyn,88,2,2,0,2
Brooklyn,90,9,10,0,0
Brooklyn,94,8,8,0,1
Brooklyn Total,"",71,73,1,10
Queens,100,1,1,0,0
Queens,101,0,0,0,0
Queens,102,1,1,0,0
Queens,103,2,2,0,0
Queens,104,2,2,0,0
Queens,105,1,1,0,0
Queens,106,0,0,0,0
Queens,107,0,0,0,0
Queens,108,1,1,0,0
Queens,109,3,3,0,0
Queens,110,3,3,0,0
Queens,111,0,0,0,0
Queens,112,3,3,0,0
Queens,113,0,0,0,0
Queens,114,5,5,0,1
Queens,115,7,7,0,2
Queens Total,"",29,29,0,3
"Staten IslandStaten Island","120121","10","10","00","00"
Staten Island,122,0,0,0,0
Staten Island,123,0,0,0,0
Staten Island Total,"",1,1,0,0
Citywide Total,"",309,316,1,26
Borough,Precinct,Crashes,Bicyclist Injuries
Manhattan,1,2,2
Manhattan,5,2,2
Manhattan,6,2,1
Manhattan,7,2,2
Manhattan,9,2,1
Manhattan,10,5,2
Manhattan,13,2,0
Manhattan,14,2,3
Manhattan,17,0,0
Manhattan,18,2,1
Manhattan,19,0,0
Manhattan,20,2,3
Manhattan,22,26,16
Manhattan,23,0,0
Manhattan,24,3,2
Manhattan,25,0,0
Manhattan,26,3,2
Manhattan,28,0,0
Manhattan,30,0,0
Manhattan,32,0,0
Manhattan,33,0,0
Manhattan,34,0,0
Manhattan Total,"",55,37
Bronx,40,0,0
Bronx,41,0,0
Bronx,42,0,0
Bronx,43,1,0
Bronx,44,0,0
Bronx,45,2,1
Bronx,46,0,0
Bronx,47,0,0
Bronx,48,0,0
Bronx,49,0,0
Bronx,50,0,0
Bronx,52,0,0
Borough,Precinct,Crashes,Bicyclist Injuries
Brooklyn,60,0,0
Brooklyn,61,0,0
Brooklyn,62,2,0
Brooklyn,63,1,1
Brooklyn,66,0,0
Brooklyn,67,0,0
Brooklyn,68,1,1
Brooklyn,69,0,0
Brooklyn,70,2,1
Brooklyn,71,0,0
Brooklyn,72,"200",2
Brooklyn,73,"",0
Brooklyn,75,"",0
Brooklyn,76,0,0
Brooklyn,77,"053",0
Brooklyn,78,"",4
Brooklyn,79,"",0
Brooklyn,81,0,0
Brooklyn,83,0,0
Brooklyn,84,3,1
Brooklyn,88,0,0
Brooklyn,90,3,3
Brooklyn,94,1,1
Brooklyn Total,"",23,14
Queens,100,0,0
Queens,101,0,0
Queens,102,0,0
Queens,103,1,0
Queens,104,1,0
Queens,105,0,0
Queens,106,0,0
Queens,107,0,0
Queens,108,0,0
Queens,109,0,0
Queens,110,0,0
Queens,111,1,0
Queens,112,1,0
Queens,113,0,0
Queens,114,1,0
Queens,115,0,0
Queens Total,"",5,0
"Staten IslandStaten Island","120121","10","00"
Staten Island,122,0,0
Staten Island,123,0,0
Staten Island Total,"",1,0
Borough,Precinct,Crashes,Bicyclist Injuries
Manhattan,1,9,7
Manhattan,5,8,7
Manhattan,6,5,3
Manhattan,7,9,9
Manhattan,9,4,4
Manhattan,10,8,8
Manhattan,13,6,6
Manhattan,14,5,4
Manhattan,17,2,1
Manhattan,18,12,6
Manhattan,19,10,9
Manhattan,20,8,6
Manhattan,22,78,64
Manhattan,23,3,1
Manhattan,24,2,2
Manhattan,25,1,0
Manhattan,26,5,4
Manhattan,28,1,1
Manhattan,30,3,2
Manhattan,32,1,1
Manhattan,33,2,2
Manhattan,34,4,4
Manhattan Total,"",186,151
Bronx,40,0,0
Bronx,41,0,0
Bronx,42,0,0
Bronx,43,6,4
Bronx,44,2,2
Bronx,45,6,6
Bronx,46,1,1
Bronx,47,1,1
Bronx,48,0,0
Bronx,49,1,1
Bronx,50,3,3
Bronx,52,5,5
Borough,Precinct,Crashes,Bicyclist Injuries
Brooklyn,60,3,2
Brooklyn,61,4,3
Brooklyn,62,1,1
Brooklyn,63,5,5
Brooklyn,66,1,1
Brooklyn,67,1,1
Brooklyn,68,4,4
Brooklyn,69,1,1
Brooklyn,70,2,1
Brooklyn,71,3,3
Brooklyn,72,3,3
Brooklyn,73,1,0
Brooklyn,75,2,2
Brooklyn,76,5,5
Brooklyn,77,3,3
Brooklyn,78,10,10
Brooklyn,79,7,6
Brooklyn,81,4,3
Brooklyn,83,2,2
Brooklyn,84,11,8
Brooklyn,88,3,3
Brooklyn,90,14,11
Brooklyn,94,10,10
Brooklyn Total,"",100,88
Queens,100,1,1
Queens,101,2,2
Queens,102,1,1
Queens,103,1,1
Queens,104,3,3
Queens,105,0,0
Queens,106,0,0
Queens,107,1,1
Queens,108,5,5
Queens,109,1,1
Queens,110,10,10
Queens,111,3,0
Queens,112,1,1
Queens,113,1,1
Queens,114,4,2
Queens,115,5,5
Queens Total,"",39,34
"Staten IslandStaten Island","120121","40","40"
Staten Island,122,6,6
Staten Island,123,1,1
Staten Island Total,"",11,11
