Borough,Precinct,Crashes,"Bicyclist Injuries","Bicyclist Fatalities","Motor Vehicle Occupant Injuries"
Manhattan,1,16,16,0,0
Manhattan,5,10,10,0,0
Manhattan,6,21,21,0,0
Manhattan,7,5,6,0,0
Manhattan,9,19,19,0,0
Manhattan,10,6,6,0,0
Manhattan,13,19,19,0,0
Manhattan,14,18,18,0,0
Manhattan,17,13*,13,0,0
Manhattan,18,16,16,0,0
Manhattan,19,26,26,0,0
Manhattan,20,8,8,0,0
Manhattan,22,1,1,0,0
Manhattan,23,6,6,0,0
Manhattan,24,7,7,0,0
Manhattan,25,11,11,0,0
Manhattan,26,1,1,0,0
Manhattan,28,6,5,1,0
Manhattan,30,4,4,0,0
Manhattan,32,4,4,0,0
Manhattan,33,4,5,0,0
Manhattan,34,8,8,0,0
Manhattan Total,"",229,230,1,0
Bronx,40,5,5,0,0
Bronx,41,5*,5,0,0
Bronx,42,4,4,0,0
Bronx,43,6,6,0,0
Bronx,44,10,10,0,2
Bronx,45,7,7,0,0
Bronx,46,4,4,0,0
Bronx,47,6,6,0,0
Bronx,48,3,3,0,0
Bronx,49,1,1,0,0
Bronx,50,1,1,0,0
Bronx,52,4,4,0,0
Borough,Precinct,Crashes,"Bicyclist Injuries","Bicyclist Fatalities","Motor Vehicle Occupant Injuries"
Brooklyn,60,10,10,0,0
Brooklyn,61,19,19,0,0
Brooklyn,62,12,12,0,0
Brooklyn,63,7,6,1,0
Brooklyn,66,18,18,0,0
Brooklyn,67,16,16,0,1
Brooklyn,68,3,3,0,0
Brooklyn,69,5,5,0,0
Brooklyn,70,15,15,0,0
Brooklyn,71,7,7,0,0
Brooklyn,72,20,21,0,0
Brooklyn,73,7,7,0,0
Brooklyn,75,12,12,0,0
Brooklyn,76,6,6,0,0
Brooklyn,77,16,16,0,0
Brooklyn,78,7,7,0,0
Brooklyn,79,16,17,0,0
Brooklyn,81,5,5,0,0
Brooklyn,83,21,21,0,0
Brooklyn,84,5,5,0,0
Brooklyn,88,24,24,0,0
Brooklyn,90,23,22,1,0
Brooklyn,94,11,11,0,0
Brooklyn Total,"",285,285,2,1
Queens,100,3,3,0,0
Queens,101,0,0,0,0
Queens,102,11,11,0,0
Queens,103,12,12,0,0
Queens,104,11,11,0,0
Queens,105,6,6,0,0
Queens,106,8,8,0,0
Queens,107,8,8,0,0
Queens,108,20,20,0,0
Queens,109,14,14,0,0
Queens,110,18,18,0,0
Queens,111,8,8,0,0
Queens,112,6,6,0,0
Queens,113,4,4,0,0
Queens,114,25,25,0,2
Queens,115,24,24,0,0
Queens Total,"",178,178,0,2
Staten Island,120,2,2,0,0
Staten Island,122,4,4,0,0
Staten Island,123,0,0,0,0
Staten Island Total,"",6,6,0,0
Borough,Precinct,Crashes,Pedestrian Injuries,Pedestrian Fatalities,Bicyclist Injuries
Manhattan,1,"","","",""
Manhattan,5,2,2,0,0
Manhattan,6,"","","",""
Manhattan,7,"","","",""
Manhattan,9,2,2,0,0
Manhattan,10,1,1,0,0
Manhattan,13,1,1,0,0
Manhattan,14,6,6,0,1
Manhattan,17,"","","",""
Manhattan,18,2,2,0,0
Manhattan,19,"","","",""
Manhattan,20,"","","",""
Manhattan,22,7*,6,0,1
Manhattan,23,"","","",""
Manhattan,24,"","","",""
Manhattan,25,"","","",""
Manhattan,26,"","","",""
Manhattan,28,"","","",""
Manhattan,30,"","","",""
Manhattan,32,"","","",""
Manhattan,33,"","","",""
Manhattan,34,"","","",""
Manhattan Total,"",21,20,0,2
Bronx,40,"","","",""
Bronx,41,"","","",""
Bronx,42,"","","",""
Bronx,43,"","","",""
Bronx,44,"","","",""
Bronx,45,"","","",""
Bronx,46,"","","",""
Bronx,47,"","","",""
Bronx,48,"","","",""
Bronx,49,"","","",""
