"Bicycle Crash Data Report 2015"
"","","","","","","",""
Borough,"Pedestrian Injuries","Pedestrian Fatalities","Bicyclist Injuries","Bicyclist Fatalities","Occupant Injuries","Occupant Fatalities","Total  Traffic Injuries"
Manhattan,"2,519",21,"1,324",2,"4,536",6,"8,379"
Bronx,"1,705",25,455,2,"6,792",12,"8,952"
Brooklyn,"3,353",48,"1,652",4,"11,827",15,"16,832"
Queens,"2,509",33,947,5,"12,635",35,"16,091"
Staten Island,375,10,55,1,"2,479",13,"2,909"
"Crashes Involving Pedestrians and Bicyclists(not involving Motor Vehicles)","","","",""
"Pedestrian Injuries","Pedestrian Fatalities","Bicyclist Injuries","Bicyclist Fatalities","Bicyclist Injuries"
199,0,9,0,236
20,0,2,0,23
101,0,14,1,138
37,0,3,0,37
4,0,0,0,1
"Pedestrian Injuries","Pedestrian Fatalities","Bicyclist Injuries","Bicyclist Fatalities","Occupant Injuries","Occupant Fatalities","Total Injuries"
"2,718",21,"1,569",3,"4,536",6,"8,823"
"1,725",25,480,2,"6,792",12,"8,997"
"3,454",48,"1,804",5,"11,827",15,"17,085"
"2,546",33,987,5,"12,635",35,"16,168"
379,10,56,1,"2,479",13,"2,914"
Borough,Precinct,Crashes,"Bicyclist Injuries","Bicyclist Fatalities","Motor Vehicle Occupant Injuries"
Manhattan,1,90,91,0,0
Manhattan,5,73,75,0,3
Manhattan,6,58,60,0,0
Manhattan,7,51,51,0,1
Manhattan,9,86,87,0,1
Manhattan,10,51,51,0,0
Manhattan,13,136,136,0,0
Manhattan,14,94,94,0,0
Manhattan,17,108,108,0,0
Manhattan,18,104,106,0,0
Manhattan,19,111,111,0,2
Manhattan,20,50,51,0,0
Manhattan,22,5,5,0,0
Manhattan,23,37,37,0,1
Manhattan,24,40,40,0,0
Manhattan,25,38,37,1,1
Manhattan,26,19,20,0,0
Manhattan,28,42,42,0,1
Manhattan,30,27,28,0,0
Manhattan,32,29,30,1,0
Manhattan,33,28,28,0,0
Manhattan,34,36,36,0,0
Manhattan Total,"",1313,1324,2,10
Bronx,40,58,59,0,3
Bronx,41,21,21,0,1
Bronx,42,32,32,0,0
Bronx,43,32,32,0,1
Bronx,44,60,59,1,0
Bronx,45,26,25,1,0
Bronx,46,43,45,0,0
Bronx,47,37,37,0,0
Bronx,48,42,42,0,1
Bronx,49,39,39,0,0
Bronx,50,29,29,0,0
Bronx,52,35,35,0,1
Bronx Total,"",454,455,2,7
Borough,Precinct,Crashes,"Bicyclist Injuries","Bicyclist Fatalities","Motor Vehicle Occupant Injuries"
Brooklyn,60,29,29,0,1
Brooklyn,61,73,73,0,0
