LocationID,LocationType,TypeOfTime,Location,Location_Lat,Location_Long,Year,AllUserVolume,Cyclists_all,Cyc_Greenway_only,Cyc_Helmet_Greenwy,Citibike_All,Non_citibikeCyc,RllrBld_Scootr,Jogger,Walker,CycMaleHel_greenwy,CycMale_greenwy,CycFemaleHell_greenwy,CycFemale_greenwy,Cyclists_Male,Cyclists_Female
11,Off-Street,Weekday,East River at E Houston St.,40.718708999999997,-73.974100000000007,2005,1315,426,426,133,0,426,17,498,374,,,,,,
11,Off-Street,Weekday,East River at E Houston St.,40.718708999999997,-73.974100000000007,2006,1170,315,315,117,0,315,11,502,342,,,,,,
11,Off-Street,Weekday,East River at E Houston St.,40.718708999999997,-73.974100000000007,2007,1422,451,451,185,0,451,12,629,334,,,,,,
11,Off-Street,Weekday,East River at E Houston St.,40.718708999999997,-73.974100000000007,2008,1672,460,460,246,0,460,10,728,474,,,,,,
11,Off-Street,Weekday,East River at E Houston St.,40.718708999999997,-73.974100000000007,2009,1399,715,715,460,0,715,36,412,236,,,,,,
11,Off-Street,Weekday,East River at E Houston St.,40.718708999999997,-73.974100000000007,2010,1153,357,357,204,0,357,10,414,372,,,,,,
11,Off-Street,Weekday,East River at E Houston St.,40.718708999999997,-73.974100000000007,2011,2244,444,215,103,0,444,19,1065,716,,,,,,
11,Off-Street,Weekday,East River at E Houston St.,40.718708999999997,-73.974100000000007,2012,2704,631,210,85,0,631,25,1356,692,59,154,26,56,453,178
11,Off-Street,Weekday,East River at E Houston St.,40.718708999999997,-73.974100000000007,2013,3148,1052,557,240,298,754,35,1395,666,154,400,86,157,777,275
11,Off-Street,Weekday,East River at E Houston St.,40.718708999999997,-73.974100000000007,2014,3321,920,495,216,266,654,25,1600,776,156,371,60,124,675,245
11,Off-Street,Weekday,East River at E Houston St.,40.718708999999997,-73.974100000000007,2015,3198,1098,502,204,363,735,54,1407,639,145,397,59,105,847,251
12,Off-Street,Weekday,Route 9A at 11th St.,40.735340000000001,-74.010569000000004,2005,1658,1239,1239,604,0,1239,101,262,56,,,,,,
12,Off-Street,Weekday,Route 9A at 11th St.,40.735340000000001,-74.010569000000004,2006,1764,1357,1357,843,0,1357,71,243,92,,,,,,
12,Off-Street,Weekday,Route 9A at 11th St.,40.735340000000001,-74.010569000000004,2007,3328,1304,1304,927,0,1304,113,1010,901,,,,,,
12,Off-Street,Weekday,Route 9A at 11th St.,40.735340000000001,-74.010569000000004,2008,4291,1961,1947,1052,0,1961,103,1190,1037,,,,,,
12,Off-Street,Weekday,Route 9A at 11th St.,40.735340000000001,-74.010569000000004,2009,4305,2008,1985,1138,0,2008,77,1255,965,,,,,,
12,Off-Street,Weekday,Route 9A at 11th St.,40.735340000000001,-74.010569000000004,2010,5043,2546,2531,1531,0,2546,93,1370,1034,,,,,,
12,Off-Street,Weekday,Route 9A at 11th St.,40.735340000000001,-74.010569000000004,2011,4387,2143,2136,1359,0,2143,57,1333,854,,,,,,
12,Off-Street,Weekday,Route 9A at 11th St.,40.735340000000001,-74.010569000000004,2012,4829,2364,2363,1543,0,2364,52,1561,852,1088,1702,455,661,1703,661
12,Off-Street,Weekday,Route 9A at 11th St.,40.735340000000001,-74.010569000000004,2013,6512,3749,3738,2018,913,2836,85,1650,1028,1455,2697,563,1041,2705,1044
12,Off-Street,Weekday,Route 9A at 11th St.,40.735340000000001,-74.010569000000004,2014,6496,2912,2826,1626,910,2002,60,1757,1767,1187,2022,439,804,2087,825
12,Off-Street,Weekday,Route 9A at 11th St.,40.735340000000001,-74.010569000000004,2015,6448,3891,3875,2140,1124,2767,66,1490,1001,1465,2663,675,1212,2675,1216
13,Off-Street,Weekday,East River Greenway at E90th St.,40.777374000000002,-73.942531000000002,2005,398,120,120,22,0,120,9,122,147,,,,,,
13,Off-Street,Weekday,East River Greenway at E90th St.,40.777374000000002,-73.942531000000002,2006,342,79,79,15,0,79,6,137,120,,,,,,
13,Off-Street,Weekday,East River Greenway at E90th St.,40.777374000000002,-73.942531000000002,2007,1198,125,125,54,0,125,3,382,688,,,,,,
13,Off-Street,Weekday,East River Greenway at E90th St.,40.777374000000002,-73.942531000000002,2008,1325,120,120,53,0,120,4,465,736,,,,,,
13,Off-Street,Weekday,East River Greenway at E90th St.,40.777374000000002,-73.942531000000002,2009,1053,108,108,56,0,108,2,417,526,,,,,,
13,Off-Street,Weekday,East River Greenway at E90th St.,40.777374000000002,-73.942531000000002,2010,1396,128,128,55,0,128,1,552,715,,,,,,
13,Off-Street,Weekday,East River Greenway at E90th St.,40.777374000000002,-73.942531000000002,2011,1353,161,161,70,0,161,1,398,793,,,,,,
13,Off-Street,Weekday,East River Greenway at E90th St.,40.777374000000002,-73.942531000000002,2012,1275,169,169,86,0,169,1,493,612,70,136,16,33,136,33
13,Off-Street,Weekday,East River Greenway at E90th St.,40.777374000000002,-73.942531000000002,2013,1474,195,195,107,0,195,2,508,769,74,144,33,51,144,51
13,Off-Street,Weekday,East River Greenway at E90th St.,40.777374000000002,-73.942531000000002,2014,1546,223,223,121,0,223,4,594,725,88,165,33,58,165,58
13,Off-Street,Weekday,East River Greenway at E90th St.,40.777374000000002,-73.942531000000002,2015,1335,180,180,84,8,172,9,461,685,64,139,20,41,139,41
14,Off-Street,Weekday,Route 9A Greenway at 80th St.,40.786529000000002,-73.984583999999998,2005,2404,1244,1244,684,0,1244,67,542,551,,,,,,
14,Off-Street,Weekday,Route 9A Greenway at 80th St.,40.786529000000002,-73.984583999999998,2006,1525,863,863,518,0,863,17,320,325,,,,,,
14,Off-Street,Weekday,Route 9A Greenway at 80th St.,40.786529000000002,-73.984583999999998,2007,2256,1222,1222,741,0,1222,36,404,594,,,,,,
14,Off-Street,Weekday,Route 9A Greenway at 80th St.,40.786529000000002,-73.984583999999998,2008,2337,1247,1247,779,0,1247,28,440,622,,,,,,
14,Off-Street,Weekday,Route 9A Greenway at 80th St.,40.786529000000002,-73.984583999999998,2009,2359,1456,1456,979,0,1456,15,467,421,,,,,,
14,Off-Street,Weekday,Route 9A Greenway at 80th St.,40.786529000000002,-73.984583999999998,2010,1802,1239,1239,702,0,1239,14,386,163,,,,,,
14,Off-Street,Weekday,Route 9A Greenway at 80th St.,40.786529000000002,-73.984583999999998,2011,2776,1841,1841,1232,0,1841,23,576,336,,,,,,
14,Off-Street,Weekday,Route 9A Greenway at 80th St.,40.786529000000002,-73.984583999999998,2012,3126,2031,2031,1410,0,2031,28,605,462,1040,1502,370,529,1502,529
14,Off-Street,Weekday,Route 9A Greenway at 80th St.,40.786529000000002,-73.984583999999998,2013,3164,1802.5,1802,1235.5,4,1798,34.5,785,540,554,779,225,312,779,312
14,Off-Street,Weekday,Route 9A Greenway at 80th St.,40.786529000000002,-73.984583999999998,2014,3040,1763,1763,1237,14,1749,15,767,495,898,1285,339,478,1285,478
14,Off-Street,Weekday,Route 9A Greenway at 80th St.,40.786529000000002,-73.984583999999998,2015,3061,2066,2066,1434,55,2011,25,557,413,1084,1564,350,502,1564,502
15,Off-Street,Weekday,Route 9A Greenway at 125th St.,40.818769000000003,-73.961127000000005,2005,738,595,595,296,0,595,11,61,71,,,,,,
15,Off-Street,Weekday,Route 9A Greenway at 125th St.,40.818769000000003,-73.961127000000005,2006,464,346,346,221,0,346,8,62,48,,,,,,
15,Off-Street,Weekday,Route 9A Greenway at 125th St.,40.818769000000003,-73.961127000000005,2007,556,436,436,294,0,436,5,51,64,,,,,,
15,Off-Street,Weekday,Route 9A Greenway at 125th St.,40.818769000000003,-73.961127000000005,2009,887,651,651,430,0,651,14,121,101,,,,,,
15,Off-Street,Weekday,Route 9A Greenway at 125th St.,40.818769000000003,-73.961127000000005,2010,1170,926,926,648,0,926,18,111,115,,,,,,
15,Off-Street,Weekday,Route 9A Greenway at 125th St.,40.818769000000003,-73.961127000000005,2011,1398,1171,1171,776,0,1171,13,112,102,,,,,,
15,Off-Street,Weekday,Route 9A Greenway at 125th St.,40.818769000000003,-73.961127000000005,2012,1226,1061,1061,730,0,1061,5,113,47,532,811,198,250,811,250
15,Off-Street,Weekday,Route 9A Greenway at 125th St.,40.818769000000003,-73.961127000000005,2013,1109,991,991,691,1,990,4,64,50,530,771,161,220,771,220
15,Off-Street,Weekday,Route 9A Greenway at 125th St.,40.818769000000003,-73.961127000000005,2014,1242,991,991,694,2,989,8,89,154,533,773,161,218,773,218
15,Off-Street,Weekday,Route 9A Greenway at 125th St.,40.818769000000003,-73.961127000000005,2015,1219,1050,1050,739,5,1045,7,90,72,566,818,173,232,818,232
11,Off-Street,Weekend,East River at E Houston St.,40.718708999999997,-73.974100000000007,2010,1591,377,377,145,0,377,19,537,658,,,,,,
11,Off-Street,Weekend,East River at E Houston St.,40.718708999999997,-73.974100000000007,2011,2215,499,284,184,0,499,22,1211,483,,,,,,
11,Off-Street,Weekend,East River at E Houston St.,40.718708999999997,-73.974100000000007,2012,2708,650,271,155,0,650,24,1411,623,96,175,59,96,444,206
11,Off-Street,Weekend,East River at E Houston St.,40.718708999999997,-73.974100000000007,2013,1855,454,218,98,65,389,24,828,549,67,150,31,68,300,154
11,Off-Street,Weekend,East River at E Houston St.,40.718708999999997,-73.974100000000007,2014,3245,685,388,173,155,530,16,1670,874,117,270,56,118,474,211
11,Off-Street,Weekend,East River at E Houston St.,40.718708999999997,-73.974100000000007,2015,2417,551,281,144,125,426,35,1317,514,94,197,50,84,378,173
12,Off-Street,Weekend,Route 9A at 11th St.,40.735340000000001,-74.010569000000004,2007,6525,3292,3292,1534,0,3292,315,2166,752,,,,,,
12,Off-Street,Weekend,Route 9A at 11th St.,40.735340000000001,-74.010569000000004,2008,5761,2982,2977,1604,0,2982,219,1415,1145,,,,,,
12,Off-Street,Weekend,Route 9A at 11th St.,40.735340000000001,-74.010569000000004,2009,2245,1780,1780,1055,0,1780,59,362,44,,,,,,
12,Off-Street,Weekend,Route 9A at 11th St.,40.735340000000001,-74.010569000000004,2010,5072,1992,1984,1117,0,1992,73,1796,1211,,,,,,
12,Off-Street,Weekend,Route 9A at 11th St.,40.735340000000001,-74.010569000000004,2011,4990,2212,2185,1363,0,2212,113,1837,828,,,,,,
12,Off-Street,Weekend,Route 9A at 11th St.,40.735340000000001,-74.010569000000004,2012,4808,2365,2350,1414,0,2365,78,1403,962,972,1570,442,780,1583,782
12,Off-Street,Weekend,Route 9A at 11th St.,40.735340000000001,-74.010569000000004,2013,6582,3139,3120,1715,592,2547,129,1853,1461,1166,2112,549,1008,2128,1011
12,Off-Street,Weekend,Route 9A at 11th St.,40.735340000000001,-74.010569000000004,2014,5127,2374,2351,1231,558,1816,68,1894,791,860,1513,371,838,1531,843
12,Off-Street,Weekend,Route 9A at 11th St.,40.735340000000001,-74.010569000000004,2015,5064,2509,2476,1261,579,1930,64,1444,1047,880,1694,381,782,1713,796
13,Off-Street,Weekend,East River Greenway at E90th St.,40.777374000000002,-73.942531000000002,2007,2205,197,197,155,0,197,20,646,1342,,,,,,
13,Off-Street,Weekend,East River Greenway at E90th St.,40.777374000000002,-73.942531000000002,2008,2763,474,474,190,0,474,6,932,1351,,,,,,
13,Off-Street,Weekend,East River Greenway at E90th St.,40.777374000000002,-73.942531000000002,2009,1332,205,205,114,0,205,6,343,778,,,,,,
13,Off-Street,Weekend,East River Greenway at E90th St.,40.777374000000002,-73.942531000000002,2010,1122,239,239,126,0,239,16,381,486,,,,,,
13,Off-Street,Weekend,East River Greenway at E90th St.,40.777374000000002,-73.942531000000002,2011,972,175,175,99,0,175,8,383,406,,,,,,
13,Off-Street,Weekend,East River Greenway at E90th St.,40.777374000000002,-73.942531000000002,2012,1483,297,297,179,0,297,7,563,616,115,206,64,91,206,91
13,Off-Street,Weekend,East River Greenway at E90th St.,40.777374000000002,-73.942531000000002,2013,1583,338,338,213,2,336,14,470,761,138,231,75,107,231,107
13,Off-Street,Weekend,East River Greenway at E90th St.,40.777374000000002,-73.942531000000002,2014,1137,197,197,121,0,197,2,488,450,80,131,41,66,131,66
13,Off-Street,Weekend,East River Greenway at E90th St.,40.777374000000002,-73.942531000000002,2015,1365,253,253,143,2,251,9,484,619,89,166,54,87,166,87
14,Off-Street,Weekend,Route 9A Greenway at 80th St.,40.786529000000002,-73.984583999999998,2005,2846,1395,1395,750.75,0,1395,95,597,758,,,,,,
14,Off-Street,Weekend,Route 9A Greenway at 80th St.,40.786529000000002,-73.984583999999998,2006,3909,1881,1881,1037,0,1881,106,853,1069,,,,,,
14,Off-Street,Weekend,Route 9A Greenway at 80th St.,40.786529000000002,-73.984583999999998,2007,3493,1944,1944,1000,0,1944,70,478,1001,,,,,,
14,Off-Street,Weekend,Route 9A Greenway at 80th St.,40.786529000000002,-73.984583999999998,2008,4833,2588,2588,1673,0,2588,99,1014,1132,,,,,,
14,Off-Street,Weekend,Route 9A Greenway at 80th St.,40.786529000000002,-73.984583999999998,2009,2212,1292,1292,703,0,1292,35,364,521,,,,,,
14,Off-Street,Weekend,Route 9A Greenway at 80th St.,40.786529000000002,-73.984583999999998,2010,2216,1733,1733,989,0,1733,32,388,63,,,,,,
